customer_id,age,income,spending_score,annual_purchases,avg_order_value,website_visits_month,app_sessions_month,cart_abandon_rate,discount_usage_rate,loyalty_points,tenure_years,support_tickets,email_open_rate,social_engagement,return_rate,wishlist_items,referrals_made,premium_category_pct,weekend_purchase_pct,mobile_purchase_pct,gender,region,preferred_channel,cluster,persona_name
CUST100065,26,105929.0,92.0,33,106.98,21,24,0.07,0.198,4419,4.83,1.0,0.579,0.827,0.129,0,3,0.68,0.375,0.709,Female,East,Mobile App,3,High-Value Trendsetters
CUST100286,25,30884.0,84.5,4,40.45,19,20,0.431,0.791,1144,2.2,3.0,0.405,0.646,0.121,16,0,0.185,0.583,0.842,Female,East,Mobile App,1,Budget-Conscious Explorers
CUST100635,46,80102.0,15.3,4,142.18,5,3,0.709,0.186,586,4.61,0.0,0.413,0.065,0.035,2,1,0.377,0.174,0.2,Female,South,Website,2,Affluent Conservatives
CUST100067,25,28779.0,75.2,35,19.32,33,40,0.365,0.973,2198,2.47,2.0,0.378,0.725,0.203,18,3,0.027,0.682,0.924,Male,West,Mobile App,1,Budget-Conscious Explorers
CUST100327,41,72460.0,30.4,6,131.33,4,1,0.565,0.028,1526,6.79,2.0,0.33,0.093,0.014,3,0,0.527,0.3,0.212,Female,East,Website,2,Affluent Conservatives
CUST100395,36,93627.0,16.5,9,127.46,3,3,0.463,0.096,1120,5.97,1.0,0.461,0.07,0.067,2,0,0.678,0.159,0.263,Female,South,In-Store,2,Affluent Conservatives
CUST100244,24,81079.0,81.3,25,211.86,20,29,0.163,0.207,3638,4.02,1.0,0.413,0.585,0.067,10,5,0.63,0.597,0.682,Female,South,Mobile App,3,High-Value Trendsetters
CUST100377,28,24129.0,77.5,12,24.02,22,25,0.462,0.808,2708,1.48,4.0,0.317,0.549,0.159,6,3,0.038,0.405,0.989,Male,West,Website,1,Budget-Conscious Explorers
CUST100610,57,21578.0,21.1,2,17.5,1,2,0.734,0.453,253,6.87,2.0,0.156,0.1,0.12,1,0,0.095,0.087,0.0,Female,West,In-Store,0,Conservative Minimizers
CUST100526,34,25460.0,21.0,1,30.5,3,1,0.596,0.535,299,5.54,5.0,0.169,0.01,0.072,1,1,0.28,0.377,0.163,Male,South,In-Store,0,Conservative Minimizers
CUST100658,53,22893.0,18.4,4,26.41,3,0,0.536,0.58,361,2.84,5.0,0.285,0.049,0.174,0,1,0.064,0.298,0.054,Male,East,Mobile App,0,Conservative Minimizers
CUST100529,53,25259.0,15.4,3,32.68,3,2,0.638,0.629,489,7.2,3.0,0.092,0.037,0.066,1,1,0.009,0.15,0.174,Male,West,Mobile App,0,Conservative Minimizers
CUST100622,39,80963.0,12.9,6,146.64,3,2,0.463,0.134,1138,6.03,0.0,0.326,0.194,0.048,1,2,0.529,0.328,0.139,Female,South,Mobile App,2,Affluent Conservatives
CUST100721,44,82683.0,23.2,8,173.05,1,3,0.697,0.178,1153,5.5,0.0,0.24,0.101,0.075,3,1,0.594,0.29,0.136,Female,North,Mobile App,2,Affluent Conservatives
CUST100360,28,58949.5,80.5,21,50.3,22,33,0.491,0.689,1477,1.15,1.0,0.254,0.672,0.196,17,4,0.0,0.664,0.805,Male,North,Mobile App,1,Budget-Conscious Explorers
CUST100030,48,79921.0,66.5,26,149.98,17,16,0.179,0.242,3303,5.05,3.0,0.567,0.61,0.074,11,1,0.72,0.511,0.885,Female,South,In-Store,3,High-Value Trendsetters
CUST100260,28,14564.0,90.5,26,43.99,28,29,0.344,0.736,1410,1.99,3.0,0.548,0.795,0.235,11,2,0.138,0.561,0.872,Male,East,Website,1,Budget-Conscious Explorers
CUST100637,52,61868.0,11.3,9,167.36,4,3,0.358,0.14,1519,5.68,4.0,0.37,0.0,0.061,1,2,0.682,0.24,0.35,Female,North,Website,2,Affluent Conservatives
CUST100746,38,99430.0,19.1,5,104.91,3,2,0.64,0.064,1385,10.28,1.0,0.429,0.129,0.107,2,2,0.595,0.223,0.079,Female,South,Mobile App,2,Affluent Conservatives
CUST100570,33,35438.0,17.8,2,30.69,3,2,0.652,0.566,335,5.84,4.0,0.227,0.083,0.059,1,1,0.0,0.022,0.242,Female,East,Website,0,Conservative Minimizers
CUST100215,51,79016.0,18.7,8,164.27,3,2,0.376,0.047,1296,6.72,1.0,0.454,0.041,0.043,2,0,0.815,0.391,0.229,Male,South,Website,2,Affluent Conservatives
CUST100078,43,16002.0,25.5,0,33.19,1,1,0.638,0.667,273,3.26,2.0,0.239,0.107,0.081,1,0,0.189,0.024,0.225,Female,Central,Website,0,Conservative Minimizers
CUST100578,42,58949.5,14.5,6,124.83,3,1,0.561,0.129,1136,2.98,2.0,0.362,0.05,0.073,1,2,0.591,0.073,0.218,Male,North,Website,2,Affluent Conservatives
CUST100383,40,71394.0,20.2,9,125.78,3,3,0.343,0.074,1309,1.21,0.0,0.46,0.15,0.061,3,1,0.683,0.268,0.212,Female,East,Mobile App,2,Affluent Conservatives
CUST100039,41,36364.0,10.5,0,13.11,2,1,0.638,0.671,0,5.99,5.0,0.071,0.061,0.062,0,0,0.293,0.384,0.116,Female,East,Website,0,Conservative Minimizers
CUST100023,44,25107.0,14.0,4,21.19,3,2,0.687,0.521,368,4.23,4.0,0.022,0.063,0.0,0,1,0.24,0.128,0.0,Female,East,Mobile App,0,Conservative Minimizers
CUST100692,27,83582.0,82.7,27,143.96,23,24,0.192,0.247,4736,6.38,2.0,0.782,0.796,0.053,12,5,0.93,0.453,0.756,Male,Central,Mobile App,3,High-Value Trendsetters
CUST100398,23,30729.0,67.6,17,11.12,12,43,0.658,0.759,1470,1.2,3.0,0.349,0.779,0.179,10,2,0.123,0.502,0.886,Male,North,Mobile App,1,Budget-Conscious Explorers
CUST100796,23,32532.0,69.8,20,32.38,28,33,0.522,0.777,2065,0.6,3.0,0.561,0.548,0.209,15,6,0.158,0.61,0.884,Male,West,Mobile App,1,Budget-Conscious Explorers
CUST100741,23,62540.0,77.0,28,142.63,21,27,0.164,0.245,4363,4.01,0.0,0.447,0.488,0.074,10,1,0.709,0.462,0.593,Male,Central,Website,3,High-Value Trendsetters
CUST100139,34,19581.0,87.2,18,37.24,17,25,0.382,0.84,2120,1.78,0.0,0.369,0.66,0.232,17,5,0.04,0.326,0.709,Male,West,Mobile App,1,Budget-Conscious Explorers
CUST100250,67,100654.0,20.6,4,137.09,5,4,0.698,0.139,823,7.97,0.0,0.201,0.112,0.066,3,1,0.68,0.202,0.19,Female,Central,Mobile App,2,Affluent Conservatives
CUST100174,29,30015.0,84.6,24,32.67,36,24,0.45,0.751,1961,1.07,2.0,0.383,0.56,0.181,8,0,0.111,0.649,0.892,Female,West,Website,1,Budget-Conscious Explorers
CUST100323,21,25131.0,67.9,31,46.55,25,22,0.604,0.713,1358,0.1,1.0,0.255,0.675,0.225,10,4,0.042,0.607,1.0,Male,West,Mobile App,1,Budget-Conscious Explorers
CUST100595,30,18146.0,69.4,22,56.33,21,33,0.476,0.691,1864,1.05,1.0,0.234,0.747,0.234,12,5,0.146,0.594,0.8,Female,South,Website,1,Budget-Conscious Explorers
CUST100525,41,85899.0,27.1,8,173.4,3,1,0.743,0.143,1063,9.85,0.0,0.491,0.174,0.022,3,2,0.992,0.226,0.343,Female,South,Mobile App,2,Affluent Conservatives
CUST100423,33,91141.0,7.2,5,116.05,2,2,0.448,0.179,1348,10.59,1.0,0.295,0.188,0.033,2,2,0.414,0.371,0.258,Female,Central,Website,2,Affluent Conservatives
CUST100596,18,24098.0,80.3,32,40.28,20,20,0.429,0.831,1712,2.04,2.0,0.472,0.558,0.276,8,5,0.078,0.588,0.831,Female,East,Website,1,Budget-Conscious Explorers
CUST100604,22,31853.0,63.9,15,32.53,33,27,0.492,0.753,2319,0.1,3.0,0.38,0.861,0.131,12,3,0.02,0.472,0.804,Male,North,Mobile App,1,Budget-Conscious Explorers
CUST100534,27,17131.0,85.8,27,44.75,27,34,0.669,0.72,1382,0.1,5.0,0.577,0.639,0.136,11,5,0.0,0.403,1.0,Female,East,In-Store,1,Budget-Conscious Explorers
CUST100265,60,43725.0,25.0,1,21.81,3,2,0.529,0.538,329,7.16,2.0,0.041,0.111,0.156,1,0,0.103,0.115,0.253,Female,Central,Mobile App,0,Conservative Minimizers
CUST100109,45,101698.0,27.6,5,174.95,4,5,0.475,0.075,1108,6.02,0.0,0.074,0.078,0.061,2,3,0.602,0.429,0.226,Male,Central,Website,2,Affluent Conservatives
CUST100666,18,27393.0,90.5,21,17.28,23,39,0.476,0.608,2747,0.25,2.0,0.296,0.626,0.153,15,6,0.069,0.499,0.888,Female,North,Mobile App,1,Budget-Conscious Explorers
CUST100294,18,25299.0,97.7,30,16.53,23,22,0.621,0.774,1493,1.53,0.0,0.292,0.754,0.231,4,2,0.181,0.455,0.868,Male,South,Mobile App,1,Budget-Conscious Explorers
CUST100336,49,94229.0,32.1,7,198.94,4,0,0.811,0.071,1649,7.05,2.0,0.281,0.131,0.042,4,1,0.74,0.084,0.191,Female,South,In-Store,2,Affluent Conservatives
CUST100368,47,30145.0,2.4,3,40.95,2,2,0.715,0.442,256,4.68,2.0,0.082,0.155,0.051,2,0,0.147,0.256,0.09,Male,South,Mobile App,0,Conservative Minimizers
CUST100446,27,22666.0,75.8,19,64.59,21,16,0.29,0.826,2335,0.82,4.0,0.474,0.727,0.164,13,5,0.132,0.532,0.836,Female,East,Mobile App,1,Budget-Conscious Explorers
CUST100333,19,30142.0,73.0,15,29.72,27,28,0.453,0.82,2233,1.19,0.0,0.408,0.806,0.092,8,2,0.083,0.524,0.907,Female,Central,Website,1,Budget-Conscious Explorers
CUST100198,37,92334.0,28.7,8,153.68,1,1,0.603,0.033,1132,7.61,0.0,0.248,0.095,0.065,3,2,0.611,0.225,0.093,Male,East,Mobile App,2,Affluent Conservatives
CUST100168,44,72117.0,5.7,6,186.84,3,3,0.585,0.124,799,8.88,1.0,0.436,0.059,0.055,2,1,0.661,0.273,0.135,Male,West,Website,2,Affluent Conservatives
CUST100481,47,22777.0,28.0,3,36.5,2,4,0.594,0.46,146,4.47,0.0,0.171,0.0,0.108,0,0,0.21,0.43,0.042,Male,West,Mobile App,0,Conservative Minimizers
CUST100723,23,71744.0,88.0,28,189.2,18,19,0.139,0.009,3514,5.42,2.0,0.366,0.703,0.0,7,7,0.895,0.686,0.676,Female,South,Mobile App,3,High-Value Trendsetters
CUST100655,40,91721.0,81.9,35,170.15,18,29,0.212,0.296,1867,4.66,1.0,0.547,0.723,0.09,11,3,0.88,0.628,0.754,Male,East,Mobile App,3,High-Value Trendsetters
CUST100306,32,85460.0,87.1,15,167.17,18,29,0.198,0.109,4945,3.61,0.0,0.57,0.626,0.142,10,4,0.808,0.659,0.778,Female,South,In-Store,3,High-Value Trendsetters
CUST100231,35,88295.0,15.4,6,201.11,0,2,0.671,0.027,1007,5.94,1.0,0.19,0.13,0.07,3,0,0.613,0.21,0.167,Female,Central,Mobile App,2,Affluent Conservatives
CUST100422,35,17200.0,68.7,28,30.69,18,41,0.496,0.712,1342,3.55,2.0,0.54,0.857,0.149,10,6,0.217,0.412,0.894,Male,Central,Website,1,Budget-Conscious Explorers
CUST100049,40,89042.0,78.0,30,141.52,18,27,0.122,0.264,4606,2.57,2.0,0.62,0.662,0.05,6,3,0.765,0.454,0.744,Female,Central,Mobile App,3,High-Value Trendsetters
CUST100787,41,74083.0,20.1,5,110.42,5,4,0.744,0.133,1120,6.86,1.0,0.308,0.166,0.0,2,2,0.473,0.276,0.259,Male,Central,Mobile App,2,Affluent Conservatives
CUST100357,25,82932.0,71.9,19,122.02,24,21,0.161,0.159,3126,5.4,0.0,0.495,0.643,0.089,7,0,0.604,0.475,0.623,Female,South,Mobile App,3,High-Value Trendsetters
CUST100086,45,26578.0,29.6,0,12.21,2,1,0.667,0.504,400,7.33,4.0,0.132,0.0,0.138,2,1,0.062,0.267,0.236,Male,West,Mobile App,0,Conservative Minimizers
CUST100545,45,86470.0,24.3,8,154.16,0,1,0.688,0.037,1465,8.41,0.0,0.15,0.072,0.112,1,0,0.45,0.421,0.176,Male,North,Mobile App,2,Affluent Conservatives
CUST100192,47,17730.0,16.8,4,32.76,1,1,0.87,0.548,196,4.57,3.0,0.139,0.078,0.028,0,0,0.133,0.143,0.132,Male,East,Mobile App,0,Conservative Minimizers
CUST100795,27,30931.0,83.1,24,42.11,10,45,0.609,0.772,1235,2.71,1.0,0.453,0.596,0.314,6,3,0.0,0.596,0.816,Female,Central,Website,1,Budget-Conscious Explorers
CUST100033,38,20823.0,1.0,2,20.68,2,2,0.625,0.447,291,7.62,2.0,0.086,0.108,0.089,2,0,0.22,0.096,0.149,Male,East,Website,0,Conservative Minimizers
CUST100031,54,74755.0,22.7,7,113.93,3,3,0.518,0.015,1195,5.2,1.0,0.342,0.015,0.002,2,0,0.215,0.378,0.227,Male,Central,In-Store,2,Affluent Conservatives
CUST100199,44,92039.0,1.2,4,176.14,3,1,0.786,0.099,1315,7.8,1.0,0.277,0.206,0.08,3,2,0.45,0.428,0.116,Male,North,Mobile App,2,Affluent Conservatives
CUST100365,33,89462.0,75.7,33,138.25,15,19,0.204,0.189,3783,5.39,3.0,0.571,0.798,0.121,7,4,0.546,0.53,0.637,Male,Central,Mobile App,3,High-Value Trendsetters
CUST100486,29,85179.0,74.8,22,196.29,16,10,0.238,0.136,4052,6.46,1.0,0.534,0.503,0.015,9,5,0.737,0.502,0.702,Female,Central,Mobile App,3,High-Value Trendsetters
CUST100594,32,76025.0,71.3,32,183.78,16,28,0.151,0.262,4378,3.73,0.0,0.535,0.751,0.06,10,2,0.794,0.581,0.58,Male,North,Website,3,High-Value Trendsetters
CUST100568,45,26707.0,12.9,3,30.09,2,3,0.636,0.522,237,2.57,4.0,0.102,0.052,0.073,0,0,0.104,0.287,0.17,Female,Central,Mobile App,0,Conservative Minimizers
CUST100428,36,58949.5,64.8,29,172.83,23,19,0.038,0.12,3542,5.11,0.0,0.505,0.821,0.08,12,1,0.508,0.694,0.71,Male,North,Mobile App,3,High-Value Trendsetters
CUST100137,23,72134.0,13.7,4,151.89,3,3,0.625,0.157,1199,7.61,2.0,0.364,0.08,0.04,1,1,0.586,0.234,0.134,Male,West,In-Store,2,Affluent Conservatives
CUST100072,21,60765.0,83.7,24,205.92,17,12,0.087,0.0,4060,3.72,1.0,0.658,0.794,0.073,3,5,0.767,0.581,0.798,Male,East,In-Store,3,High-Value Trendsetters
CUST100077,48,20979.0,26.2,3,34.09,3,1,0.763,0.316,539,5.94,5.0,0.065,0.038,0.107,1,0,0.258,0.023,0.247,Male,East,Website,0,Conservative Minimizers
CUST100512,51,23942.0,21.3,1,17.24,1,2,0.616,0.363,291,1.88,5.0,0.109,0.114,0.154,0,0,0.205,0.212,0.186,Male,North,Mobile App,0,Conservative Minimizers
CUST100783,34,41514.0,20.3,4,21.98,3,1,0.611,0.492,260,6.05,3.0,0.147,0.044,0.062,1,0,0.216,0.28,0.15,Female,South,Mobile App,0,Conservative Minimizers
CUST100786,18,21980.0,88.4,23,36.08,26,20,0.44,0.891,2235,1.37,4.0,0.274,0.633,0.292,14,2,0.096,0.519,0.872,Male,East,Mobile App,1,Budget-Conscious Explorers
CUST100275,31,29211.0,78.5,29,60.38,27,31,0.467,0.881,1560,1.22,0.0,0.282,0.688,0.177,19,4,0.027,0.527,0.96,Female,South,Website,1,Budget-Conscious Explorers
CUST100361,45,24951.0,20.1,3,38.76,2,2,0.744,0.617,32,7.79,2.0,0.2,0.031,0.041,3,0,0.265,0.212,0.108,Male,North,Mobile App,0,Conservative Minimizers
CUST100096,22,29191.0,83.3,22,27.1,26,30,0.317,0.603,2026,0.1,2.0,0.352,0.907,0.15,15,2,0.109,0.674,0.813,Male,East,Mobile App,1,Budget-Conscious Explorers
CUST100641,40,84112.0,70.2,27,140.86,20,22,0.099,0.318,4854,6.38,1.0,0.546,0.734,0.057,9,4,0.525,0.563,0.656,Female,North,Mobile App,3,High-Value Trendsetters
CUST100715,37,92602.0,85.3,29,174.27,20,15,0.11,0.118,4864,6.48,0.0,0.706,0.66,0.121,11,7,0.725,0.414,0.689,Male,East,Mobile App,3,High-Value Trendsetters
CUST100281,50,38018.0,24.9,4,28.41,2,1,0.664,0.722,264,5.13,2.0,0.2,0.148,0.181,1,1,0.135,0.253,0.181,Male,South,Mobile App,0,Conservative Minimizers
CUST100393,34,68948.0,92.5,29,136.57,17,19,0.216,0.184,4293,4.86,0.0,0.569,0.683,0.018,10,4,0.716,0.554,0.726,Female,South,In-Store,3,High-Value Trendsetters
CUST100628,33,78581.0,13.6,5,179.83,3,1,0.561,0.133,1097,8.8,0.0,0.467,0.1,0.049,1,0,0.35,0.224,0.259,Male,Central,Website,2,Affluent Conservatives
CUST100608,33,89672.0,76.1,26,159.8,16,24,0.173,0.374,4367,1.13,2.0,0.53,0.891,0.139,7,5,0.629,0.55,0.768,Female,Central,Website,3,High-Value Trendsetters
CUST100705,24,21936.0,57.8,22,27.9,19,33,0.305,0.831,1993,1.1,2.0,0.281,0.84,0.191,13,4,0.049,0.448,0.927,Female,North,Mobile App,1,Budget-Conscious Explorers
CUST100754,19,25771.0,90.4,25,36.78,22,30,0.506,0.796,1760,1.72,0.0,0.327,0.835,0.231,12,6,0.141,0.577,0.752,Male,West,Mobile App,1,Budget-Conscious Explorers
CUST100054,41,86926.0,82.3,28,160.13,25,10,0.05,0.157,4209,5.04,1.0,0.512,0.772,0.121,10,6,0.733,0.494,0.77,Male,Central,Mobile App,3,High-Value Trendsetters
CUST100750,32,75009.0,77.8,25,149.94,21,24,0.227,0.297,5374,4.84,2.0,0.501,0.749,0.054,5,7,0.55,0.594,0.612,Female,South,Website,3,High-Value Trendsetters
CUST100155,49,83556.0,20.7,5,189.33,2,2,0.561,0.045,1299,10.22,1.0,0.39,0.0,0.049,2,0,0.762,0.267,0.182,Male,South,Mobile App,2,Affluent Conservatives
CUST100432,39,32727.0,29.1,5,14.65,1,2,0.385,0.599,459,3.56,2.0,0.075,0.054,0.075,0,0,0.123,0.172,0.337,Male,East,Website,0,Conservative Minimizers
CUST100097,33,91535.0,25.4,7,197.49,2,1,0.451,0.133,1349,7.2,0.0,0.366,0.039,0.085,5,1,0.687,0.251,0.019,Female,Central,In-Store,2,Affluent Conservatives
CUST100120,18,24409.0,95.0,21,17.0,36,35,0.443,0.713,2233,0.96,4.0,0.454,0.779,0.189,11,5,0.031,0.438,0.899,Male,South,Website,1,Budget-Conscious Explorers
CUST100076,34,109667.0,73.5,28,199.64,23,15,0.134,0.309,4505,4.29,1.0,0.512,0.685,0.07,9,4,0.619,0.603,0.991,Female,East,Website,3,High-Value Trendsetters
CUST100204,18,97968.0,78.3,26,219.23,15,19,0.143,0.233,3935,1.64,0.0,0.678,0.659,0.098,8,3,0.901,0.531,0.656,Male,North,In-Store,3,High-Value Trendsetters
CUST100352,44,31174.0,22.8,1,27.27,1,1,0.575,0.588,99,5.04,4.0,0.214,0.042,0.101,1,2,0.002,0.109,0.43,Male,West,Mobile App,0,Conservative Minimizers
CUST100764,25,27896.0,97.2,20,35.19,20,36,0.394,0.852,1140,2.05,1.0,0.473,0.748,0.148,10,1,0.167,0.495,0.829,Female,Central,Website,1,Budget-Conscious Explorers
CUST100208,54,29438.0,19.4,3,33.89,0,0,0.536,0.727,431,0.1,1.0,0.141,0.056,0.034,3,0,0.197,0.131,0.222,Female,North,Mobile App,0,Conservative Minimizers
CUST100367,22,24356.0,57.2,20,35.91,23,42,0.334,0.694,1438,0.94,4.0,0.548,0.666,0.137,7,6,0.19,0.589,0.738,Male,Central,Mobile App,1,Budget-Conscious Explorers
CUST100425,28,24407.0,69.1,25,41.13,30,32,0.333,0.819,1799,1.02,2.0,0.331,0.857,0.095,8,2,0.229,0.705,0.719,Female,North,Website,1,Budget-Conscious Explorers
CUST100515,39,58949.5,11.9,6,147.2,2,2,0.766,0.206,884,5.17,0.0,0.366,0.08,0.057,4,1,0.706,0.352,0.141,Female,South,Mobile App,2,Affluent Conservatives
CUST100084,32,67749.0,88.7,23,258.33,16,22,0.085,0.336,4872,4.45,0.0,0.571,0.515,0.138,11,4,0.408,0.452,0.769,Female,South,Website,3,High-Value Trendsetters
CUST100010,18,58949.5,74.6,20,45.03,28,39,0.435,0.68,1710,1.74,2.0,0.292,0.761,0.194,22,7,0.032,0.571,0.733,Male,South,Mobile App,1,Budget-Conscious Explorers
CUST100720,48,96414.0,27.7,1,177.59,4,0,0.622,0.108,1314,9.0,1.0,0.203,0.093,0.001,3,2,0.414,0.233,0.112,Female,East,Website,2,Affluent Conservatives
CUST100110,48,35881.0,21.5,4,30.93,2,1,0.873,0.523,363,8.14,5.0,0.151,0.0,0.126,0,1,0.167,0.3,0.06,Female,Central,Website,0,Conservative Minimizers
CUST100521,35,70401.0,18.7,3,130.29,2,2,0.748,0.003,1882,6.53,1.0,0.209,0.15,0.051,2,0,0.611,0.385,0.176,Male,East,Website,2,Affluent Conservatives
CUST100777,18,23141.0,69.6,30,39.1,31,27,0.348,0.645,1906,3.31,3.0,0.363,0.727,0.178,20,5,0.121,0.611,0.874,Male,West,Mobile App,1,Budget-Conscious Explorers
CUST100209,24,29366.0,64.3,32,36.82,33,22,0.358,0.634,1900,1.57,1.0,0.299,0.598,0.177,10,2,0.224,0.592,0.952,Male,South,Mobile App,1,Budget-Conscious Explorers
CUST100235,34,28918.0,75.5,18,37.57,15,35,0.355,0.787,1591,1.24,1.0,0.384,0.977,0.263,13,3,0.168,0.713,0.784,Female,South,Website,1,Budget-Conscious Explorers
CUST100316,36,92068.0,15.1,5,99.92,3,2,0.518,0.11,1424,8.4,2.0,0.326,0.072,0.019,1,1,0.482,0.31,0.103,Male,Central,Mobile App,2,Affluent Conservatives
CUST100388,49,93725.0,25.8,3,136.35,3,2,0.594,0.132,1318,6.65,0.0,0.46,0.117,0.019,2,0,0.605,0.28,0.143,Female,Central,Mobile App,2,Affluent Conservatives
CUST100118,26,30273.0,76.5,33,26.19,26,30,0.44,0.739,1843,2.35,4.0,0.4,0.848,0.138,15,1,0.187,0.821,0.84,Female,North,Mobile App,1,Budget-Conscious Explorers
CUST100719,28,22968.0,72.1,23,44.19,25,25,0.33,0.77,1578,1.43,2.0,0.356,0.785,0.213,20,5,0.227,0.518,0.722,Female,North,Mobile App,1,Budget-Conscious Explorers
CUST100210,26,25367.0,63.7,31,33.65,29,25,0.434,0.663,2294,1.81,3.0,0.536,0.889,0.226,6,2,0.02,0.673,0.864,Female,Central,Website,1,Budget-Conscious Explorers
CUST100254,27,28094.0,81.7,32,46.02,19,36,0.539,0.781,2253,1.69,2.0,0.412,0.508,0.175,9,1,0.215,0.65,0.848,Female,North,Website,1,Budget-Conscious Explorers
CUST100591,18,29348.0,80.0,21,34.77,26,25,0.432,0.868,1518,0.47,2.0,0.287,0.543,0.159,18,3,0.114,0.387,0.885,Female,South,Mobile App,1,Budget-Conscious Explorers
CUST100029,33,90823.0,6.6,7,115.8,1,3,0.574,0.069,1635,6.12,1.0,0.377,0.069,0.064,1,1,0.804,0.196,0.0,Female,West,Mobile App,2,Affluent Conservatives
CUST100266,45,106025.0,9.6,5,144.74,2,3,0.531,0.05,1220,7.34,2.0,0.389,0.123,0.06,2,0,0.643,0.267,0.369,Male,North,Website,2,Affluent Conservatives
CUST100656,55,33452.0,20.0,4,29.39,4,2,0.587,0.783,0,6.59,2.0,0.282,0.093,0.06,1,0,0.119,0.167,0.075,Female,South,Website,0,Conservative Minimizers
CUST100662,30,29468.0,72.8,30,22.33,25,29,0.367,0.78,2324,2.75,3.0,0.23,0.59,0.19,12,2,0.252,0.611,0.893,Female,South,Mobile App,1,Budget-Conscious Explorers
CUST100296,36,80494.0,27.7,8,146.26,4,2,0.549,0.067,1471,5.61,2.0,0.318,0.101,0.073,2,1,0.595,0.389,0.134,Male,East,Website,2,Affluent Conservatives
CUST100081,26,11748.0,81.1,33,30.47,27,37,0.434,0.692,890,2.14,2.0,0.299,0.765,0.145,10,4,0.0,0.705,0.738,Female,East,Website,1,Budget-Conscious Explorers
CUST100688,46,27235.0,6.1,2,36.77,0,2,0.7,0.475,175,9.74,5.0,0.142,0.087,0.068,1,0,0.142,0.381,0.14,Female,North,Website,0,Conservative Minimizers
CUST100302,22,91690.0,71.1,34,161.06,17,18,0.181,0.136,3609,5.78,1.0,0.527,0.727,0.08,10,2,0.948,0.492,0.856,Female,Central,Mobile App,3,High-Value Trendsetters
CUST100506,20,34982.0,81.6,19,33.74,32,37,0.303,0.913,2186,1.35,0.0,0.505,0.807,0.093,11,9,0.101,0.526,0.769,Female,North,Mobile App,1,Budget-Conscious Explorers
CUST100758,37,105760.0,17.0,8,176.81,5,3,0.55,0.097,1127,2.67,2.0,0.374,0.141,0.046,3,0,0.425,0.052,0.187,Male,South,In-Store,2,Affluent Conservatives
CUST100314,35,76295.0,82.3,30,220.14,21,28,0.119,0.158,4059,3.78,0.0,0.677,0.756,0.068,11,4,0.786,0.416,0.685,Male,West,Mobile App,3,High-Value Trendsetters
CUST100644,23,93492.0,1.1,8,186.76,3,3,0.548,0.18,1063,2.27,1.0,0.521,0.127,0.035,2,2,0.587,0.563,0.148,Female,West,Website,2,Affluent Conservatives
CUST100409,20,18541.0,78.0,29,41.0,21,35,0.226,0.675,1470,1.58,2.0,0.386,0.729,0.181,14,3,0.077,0.64,0.916,Female,Central,Website,1,Budget-Conscious Explorers
CUST100211,32,63588.0,81.6,20,178.51,20,32,0.192,0.166,4691,1.9,0.0,0.583,0.391,0.079,6,4,0.571,0.592,0.702,Female,West,Website,3,High-Value Trendsetters
